Vehicle_Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway
ACURA MDX,3.7,6,SemiAuto-6,4,Gasoline,CA,AHNXT03.7W19,SUV,7.0,16,21.0,18,4,No
ACURA MDX,3.7,6,SemiAuto-6,4,Gasoline,FA,AHNXT03.7W19,SUV,6.0,16,21.0,18,4,No
ACURA RDX,2.3,4,SemiAuto-5,2,Gasoline,CA,AHNXT02.3Y19,SUV,7.0,19,24.0,21,5,No
ACURA RDX,2.3,4,SemiAuto-5,4,Gasoline,CA,AHNXT02.3Y19,SUV,7.0,17,22.0,19,4,No
ACURA RDX,2.3,4,SemiAuto-5,2,Gasoline,FA,AHNXT02.3Y19,SUV,6.0,19,24.0,21,5,No
ACURA RDX,2.3,4,SemiAuto-5,4,Gasoline,FA,AHNXT02.3Y19,SUV,6.0,17,22.0,19,4,No
ACURA RL,3.7,6,SemiAuto-5,4,Gasoline,CA,AHNXV03.7PB9,midsize car,7.0,16,22.0,18,4,No
ACURA RL,3.7,6,SemiAuto-5,4,Gasoline,FA,AHNXV03.7PB9,midsize car,6.0,16,22.0,18,4,No
ACURA TL,3.5,6,SemiAuto-5,2,Gasoline,CA,AHNXV03.5QB9,midsize car,7.0,18,26.0,21,5,No
ACURA TL,3.7,6,SemiAuto-5,4,Gasoline,CA,AHNXV03.7RB9,midsize car,7.0,17,25.0,20,5,No
ACURA TL,3.7,6,Man-6,4,Gasoline,CA,AHNXV03.7RB9,midsize car,7.0,17,25.0,20,5,No
ACURA TL,3.5,6,SemiAuto-5,2,Gasoline,FA,AHNXV03.5QB9,midsize car,6.0,18,26.0,21,5,No
ACURA TL,3.7,6,SemiAuto-5,4,Gasoline,FA,AHNXV03.7RB9,midsize car,6.0,17,25.0,20,5,No
