Company,Model,Engine_Displacement_L,Engine_Cylinders,Transmission_Type,Drive,Fuel,Cert_Region,Underhood_Id,Veh_Class,Air_Pollution_Score,City_Mpg,Hwy_Mpg,Combined_Mpg,Greenhouse_Gas_Score,Smartway,year
0,MDX,3.7,6,8,4,4,CA,8HNXT03.7PKR,0,7.0,15,20.0,17,4,0,2008
0,MDX,3.7,6,8,4,4,FA,8HNXT03.7PKR,0,6.0,15,20.0,17,4,0,2008
0,RDX,2.3,4,8,4,4,CA,8HNXT02.3DKR,0,7.0,17,22.0,19,5,0,2008
0,RDX,2.3,4,8,4,4,FA,8HNXT02.3DKR,0,6.0,17,22.0,19,5,0,2008
0,RL,3.5,6,8,4,4,CA,8HNXV03.5HKR,2,7.0,16,24.0,19,5,0,2008
0,RL,3.5,6,8,4,4,FA,8HNXV03.5HKR,2,6.0,16,24.0,19,5,0,2008
0,TL,3.2,6,8,2,4,CA,8HNXV03.5HKR,2,7.0,18,26.0,21,6,1,2008
0,TL,3.5,6,8,2,4,CA,8HNXV03.5RKR,2,7.0,17,26.0,20,6,1,2008
0,TL,3.5,6,12,2,4,CA,8HNXV03.5RKR,2,7.0,18,27.0,21,6,1,2008
0,TL,3.2,6,8,2,4,FA,8HNXV03.5HKR,2,6.0,18,26.0,21,6,0,2008
0,TL,3.5,6,8,2,4,FA,8HNXV03.5RKR,2,6.0,17,26.0,20,6,0,2008
0,TL,3.5,6,12,2,4,FA,8HNXV03.5RKR,2,6.0,18,27.0,21,6,0,2008
0,TSX,2.4,4,12,2,4,FA,8HNXV02.4FKC,5,6.0,19,28.0,22,6,0,2008
0,TSX,2.4,4,8,2,4,FA,8HNXV02.4FKC,5,6.0,20,28.0,23,7,1,2008
0,TSX,2.4,4,12,2,4,CA,8HNXV02.4FKC,5,6.0,19,28.0,22,6,0,2008
0,TSX,2.4,4,8,2,4,CA,8HNXV02.4FKC,5,6.0,20,28.0,23,7,1,2008
